id,kind,title,lane,depends_on,specification
GH-NF1-0000,epic,GlassHelix native execution and interrogation foundation,GH-NF1-L-COORD,,planning/native-foundation-v1/proposed-todos/gh-nf1-0000.md
GH-NF1-A01,task,Adopt the approved toolbox scope without choosing biology,GH-NF1-L-A,,planning/native-foundation-v1/proposed-todos/gh-nf1-a01.md
GH-NF1-A02,task,Map both repositories and agentic authorities,GH-NF1-L-A,GH-NF1-A01,planning/native-foundation-v1/proposed-todos/gh-nf1-a02.md
GH-NF1-A03,task,Review legacy source and replacement boundaries,GH-NF1-L-A,GH-NF1-A02,planning/native-foundation-v1/proposed-todos/gh-nf1-a03.md
GH-NF1-A04,task,Publish autonomy and recovery charter,GH-NF1-L-A,GH-NF1-A03,planning/native-foundation-v1/proposed-todos/gh-nf1-a04.md
GH-NF1-C01,task,Define quantity roles over Cellerator identities,GH-NF1-L-C,GH-NF1-M00,planning/native-foundation-v1/proposed-todos/gh-nf1-c01.md
GH-NF1-C02,task,"Define system, mechanism and instance semantics",GH-NF1-L-C,GH-NF1-C01,planning/native-foundation-v1/proposed-todos/gh-nf1-c02.md
GH-NF1-C03,task,Define calculation requests and time interpretation,GH-NF1-L-C,GH-NF1-C02,planning/native-foundation-v1/proposed-todos/gh-nf1-c03.md
GH-NF1-C04,task,Define observation and inferential-state distinction,GH-NF1-L-C,GH-NF1-C03,planning/native-foundation-v1/proposed-todos/gh-nf1-c04.md
GH-NF1-C05,task,Define numerical and interpretation provenance,GH-NF1-L-C,GH-NF1-C04,planning/native-foundation-v1/proposed-todos/gh-nf1-c05.md
GH-NF1-C06,task,Define capability-based extensions,GH-NF1-L-C,GH-NF1-C05,planning/native-foundation-v1/proposed-todos/gh-nf1-c06.md
GH-NF1-C07,task,Publish developmental GlassHelix contracts,GH-NF1-L-C,GH-NF1-C06,planning/native-foundation-v1/proposed-todos/gh-nf1-c07.md
GH-NF1-B01,task,Create native library target and remove legacy default entry,GH-NF1-L-B,GH-NF1-C07;GH-NF1-X01,planning/native-foundation-v1/proposed-todos/gh-nf1-b01.md
GH-NF1-B02,task,Bind the peer source revision and consumer targets,GH-NF1-L-B,GH-NF1-B01;GH-NF1-X02,planning/native-foundation-v1/proposed-todos/gh-nf1-b02.md
GH-NF1-B03,task,Qualify C++20 and CUDA boundary choices,GH-NF1-L-B,GH-NF1-B02,planning/native-foundation-v1/proposed-todos/gh-nf1-b03.md
GH-NF1-B04,task,"Wire tests, examples and package metadata",GH-NF1-L-B,GH-NF1-B03,planning/native-foundation-v1/proposed-todos/gh-nf1-b04.md
GH-NF1-B05,task,Publish usable native consumer build,GH-NF1-L-B,GH-NF1-B04,planning/native-foundation-v1/proposed-todos/gh-nf1-b05.md
GH-NF1-S01,task,Implement system and mechanism assembly,GH-NF1-L-S,GH-NF1-C07;GH-NF1-X01,planning/native-foundation-v1/proposed-todos/gh-nf1-s01.md
GH-NF1-S02,task,"Validate domain, role, effect and algebraic closure",GH-NF1-L-S,GH-NF1-S01,planning/native-foundation-v1/proposed-todos/gh-nf1-s02.md
GH-NF1-S03,task,Lower to Cellerator numerical programs,GH-NF1-L-S,GH-NF1-S02;GH-NF1-X02,planning/native-foundation-v1/proposed-todos/gh-nf1-s03.md
GH-NF1-S04,task,Bind independent dynamical and parameter instances,GH-NF1-L-S,GH-NF1-S03,planning/native-foundation-v1/proposed-todos/gh-nf1-s04.md
